"Pin
References : ['Eff']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","Eff
References : []
Dependency : [Pin]
Num. Points : [6001]
Matrix Size : scalar
Type : Real"
-14.8,5.22E-06
-14.79,5.25E-06
-14.78,5.27E-06
-14.77,5.30E-06
-14.76,5.33E-06
-14.75,5.36E-06
-14.74,5.39E-06
-14.73,5.42E-06
-14.72,5.45E-06
-14.71,5.48E-06
-14.7,5.51E-06
-14.69,5.54E-06
-14.68,5.57E-06
-14.67,5.60E-06
-14.66,5.63E-06
-14.65,5.66E-06
-14.64,5.69E-06
-14.63,5.73E-06
-14.62,5.76E-06
-14.61,5.79E-06
-14.6,5.82E-06
-14.59,5.85E-06
-14.58,5.89E-06
-14.57,5.92E-06
-14.56,5.95E-06
-14.55,5.99E-06
-14.54,6.02E-06
-14.53,6.05E-06
-14.52,6.09E-06
-14.51,6.12E-06
-14.5,6.16E-06
-14.49,6.19E-06
-14.48,6.23E-06
-14.47,6.26E-06
-14.46,6.30E-06
-14.45,6.33E-06
-14.44,6.37E-06
-14.43,6.40E-06
-14.42,6.44E-06
-14.41,6.48E-06
-14.4,6.51E-06
-14.39,6.55E-06
-14.38,6.59E-06
-14.37,6.63E-06
-14.36,6.66E-06
-14.35,6.70E-06
-14.34,6.74E-06
-14.33,6.78E-06
-14.32,6.82E-06
-14.31,6.86E-06
-14.3,6.90E-06
-14.29,6.94E-06
-14.28,6.98E-06
-14.27,7.02E-06
-14.26,7.06E-06
-14.25,7.10E-06
-14.24,7.14E-06
-14.23,7.18E-06
-14.22,7.22E-06
-14.21,7.26E-06
-14.2,7.31E-06
-14.19,7.35E-06
-14.18,7.39E-06
-14.17,7.43E-06
-14.16,7.48E-06
-14.15,7.52E-06
-14.14,7.57E-06
-14.13,7.61E-06
-14.12,7.66E-06
-14.11,7.70E-06
-14.1,7.75E-06
-14.09,7.79E-06
-14.08,7.84E-06
-14.07,7.88E-06
-14.06,7.93E-06
-14.05,7.98E-06
-14.04,8.03E-06
-14.03,8.07E-06
-14.02,8.12E-06
-14.01,8.17E-06
-14,8.22E-06
-13.99,8.27E-06
-13.98,8.32E-06
-13.97,8.37E-06
-13.96,8.42E-06
-13.95,8.47E-06
-13.94,8.52E-06
-13.93,8.57E-06
-13.92,8.62E-06
-13.91,8.67E-06
-13.9,8.72E-06
-13.89,8.78E-06
-13.88,8.83E-06
-13.87,8.88E-06
-13.86,8.94E-06
-13.85,8.99E-06
-13.84,9.05E-06
-13.83,9.10E-06
-13.82,9.16E-06
-13.81,9.21E-06
-13.8,9.27E-06
-13.79,9.33E-06
-13.78,9.38E-06
-13.77,9.44E-06
-13.76,9.50E-06
-13.75,9.56E-06
-13.74,9.62E-06
-13.73,9.67E-06
-13.72,9.73E-06
-13.71,9.79E-06
-13.7,9.85E-06
-13.69,9.92E-06
-13.68,9.98E-06
-13.67,1.00E-05
-13.66,1.01E-05
-13.65,1.02E-05
-13.64,1.02E-05
-13.63,1.03E-05
-13.62,1.04E-05
-13.61,1.04E-05
-13.6,1.05E-05
-13.59,1.06E-05
-13.58,1.06E-05
-13.57,1.07E-05
-13.56,1.08E-05
-13.55,1.08E-05
-13.54,1.09E-05
-13.53,1.10E-05
-13.52,1.10E-05
-13.51,1.11E-05
-13.5,1.12E-05
-13.49,1.12E-05
-13.48,1.13E-05
-13.47,1.14E-05
-13.46,1.15E-05
-13.45,1.15E-05
-13.44,1.16E-05
-13.43,1.17E-05
-13.42,1.17E-05
-13.41,1.18E-05
-13.4,1.19E-05
-13.39,1.20E-05
-13.38,1.21E-05
-13.37,1.21E-05
-13.36,1.22E-05
-13.35,1.23E-05
-13.34,1.24E-05
-13.33,1.24E-05
-13.32,1.25E-05
-13.31,1.26E-05
-13.3,1.27E-05
-13.29,1.28E-05
-13.28,1.29E-05
-13.27,1.29E-05
-13.26,1.30E-05
-13.25,1.31E-05
-13.24,1.32E-05
-13.23,1.33E-05
-13.22,1.34E-05
-13.21,1.35E-05
-13.2,1.35E-05
-13.19,1.36E-05
-13.18,1.37E-05
-13.17,1.38E-05
-13.16,1.39E-05
-13.15,1.40E-05
-13.14,1.41E-05
-13.13,1.42E-05
-13.12,1.43E-05
-13.11,1.44E-05
-13.1,1.45E-05
-13.09,1.46E-05
-13.08,1.47E-05
-13.07,1.48E-05
-13.06,1.48E-05
-13.05,1.49E-05
-13.04,1.50E-05
-13.03,1.51E-05
-13.02,1.53E-05
-13.01,1.54E-05
-13,1.55E-05
-12.99,1.56E-05
-12.98,1.57E-05
-12.97,1.58E-05
-12.96,1.59E-05
-12.95,1.60E-05
-12.94,1.61E-05
-12.93,1.62E-05
-12.92,1.63E-05
-12.91,1.64E-05
-12.9,1.65E-05
-12.89,1.66E-05
-12.88,1.68E-05
-12.87,1.69E-05
-12.86,1.70E-05
-12.85,1.71E-05
-12.84,1.72E-05
-12.83,1.73E-05
-12.82,1.75E-05
-12.81,1.76E-05
-12.8,1.77E-05
-12.79,1.78E-05
-12.78,1.79E-05
-12.77,1.81E-05
-12.76,1.82E-05
-12.75,1.83E-05
-12.74,1.84E-05
-12.73,1.86E-05
-12.72,1.87E-05
-12.71,1.88E-05
-12.7,1.90E-05
-12.69,1.91E-05
-12.68,1.92E-05
-12.67,1.94E-05
-12.66,1.95E-05
-12.65,1.96E-05
-12.64,1.98E-05
-12.63,1.99E-05
-12.62,2.00E-05
-12.61,2.02E-05
-12.6,2.03E-05
-12.59,2.05E-05
-12.58,2.06E-05
-12.57,2.08E-05
-12.56,2.09E-05
-12.55,2.11E-05
-12.54,2.12E-05
-12.53,2.14E-05
-12.52,2.15E-05
-12.51,2.17E-05
-12.5,2.18E-05
-12.49,2.20E-05
-12.48,2.21E-05
-12.47,2.23E-05
-12.46,2.25E-05
-12.45,2.26E-05
-12.44,2.28E-05
-12.43,2.29E-05
-12.42,2.31E-05
-12.41,2.33E-05
-12.4,2.34E-05
-12.39,2.36E-05
-12.38,2.38E-05
-12.37,2.39E-05
-12.36,2.41E-05
-12.35,2.43E-05
-12.34,2.45E-05
-12.33,2.47E-05
-12.32,2.48E-05
-12.31,2.50E-05
-12.3,2.52E-05
-12.29,2.54E-05
-12.28,2.56E-05
-12.27,2.58E-05
-12.26,2.59E-05
-12.25,2.61E-05
-12.24,2.63E-05
-12.23,2.65E-05
-12.22,2.67E-05
-12.21,2.69E-05
-12.2,2.71E-05
-12.19,2.73E-05
-12.18,2.75E-05
-12.17,2.77E-05
-12.16,2.79E-05
-12.15,2.81E-05
-12.14,2.83E-05
-12.13,2.85E-05
-12.12,2.88E-05
-12.11,2.90E-05
-12.1,2.92E-05
-12.09,2.94E-05
-12.08,2.96E-05
-12.07,2.98E-05
-12.06,3.01E-05
-12.05,3.03E-05
-12.04,3.05E-05
-12.03,3.08E-05
-12.02,3.10E-05
-12.01,3.12E-05
-12,3.15E-05
-11.99,3.17E-05
-11.98,3.19E-05
-11.97,3.22E-05
-11.96,3.24E-05
-11.95,3.27E-05
-11.94,3.29E-05
-11.93,3.32E-05
-11.92,3.34E-05
-11.91,3.37E-05
-11.9,3.39E-05
-11.89,3.42E-05
-11.88,3.45E-05
-11.87,3.47E-05
-11.86,3.50E-05
-11.85,3.53E-05
-11.84,3.55E-05
-11.83,3.58E-05
-11.82,3.61E-05
-11.81,3.64E-05
-11.8,3.66E-05
-11.79,3.69E-05
-11.78,3.72E-05
-11.77,3.75E-05
-11.76,3.78E-05
-11.75,3.81E-05
-11.74,3.84E-05
-11.73,3.87E-05
-11.72,3.90E-05
-11.71,3.93E-05
-11.7,3.96E-05
-11.69,3.99E-05
-11.68,4.02E-05
-11.67,4.05E-05
-11.66,4.08E-05
-11.65,4.12E-05
-11.64,4.15E-05
-11.63,4.18E-05
-11.62,4.21E-05
-11.61,4.25E-05
-11.6,4.28E-05
-11.59,4.32E-05
-11.58,4.35E-05
-11.57,4.38E-05
-11.56,4.42E-05
-11.55,4.45E-05
-11.54,4.49E-05
-11.53,4.53E-05
-11.52,4.56E-05
-11.51,4.60E-05
-11.5,4.64E-05
-11.49,4.67E-05
-11.48,4.71E-05
-11.47,4.75E-05
-11.46,4.79E-05
-11.45,4.82E-05
-11.44,4.86E-05
-11.43,4.90E-05
-11.42,4.94E-05
-11.41,4.98E-05
-11.4,5.02E-05
-11.39,5.06E-05
-11.38,5.10E-05
-11.37,5.15E-05
-11.36,5.19E-05
-11.35,5.23E-05
-11.34,5.27E-05
-11.33,5.32E-05
-11.32,5.36E-05
-11.31,5.40E-05
-11.3,5.45E-05
-11.29,5.49E-05
-11.28,5.54E-05
-11.27,5.58E-05
-11.26,5.63E-05
-11.25,5.67E-05
-11.24,5.72E-05
-11.23,5.77E-05
-11.22,5.82E-05
-11.21,5.86E-05
-11.2,5.91E-05
-11.19,5.96E-05
-11.18,6.01E-05
-11.17,6.06E-05
-11.16,6.11E-05
-11.15,6.16E-05
-11.14,6.21E-05
-11.13,6.26E-05
-11.12,6.32E-05
-11.11,6.37E-05
-11.1,6.42E-05
-11.09,6.48E-05
-11.08,6.53E-05
-11.07,6.59E-05
-11.06,6.64E-05
-11.05,6.70E-05
-11.04,6.75E-05
-11.03,6.81E-05
-11.02,6.87E-05
-11.01,6.93E-05
-11,6.98E-05
-10.99,7.04E-05
-10.98,7.10E-05
-10.97,7.16E-05
-10.96,7.22E-05
-10.95,7.29E-05
-10.94,7.35E-05
-10.93,7.41E-05
-10.92,7.47E-05
-10.91,7.54E-05
-10.9,7.60E-05
-10.89,7.67E-05
-10.88,7.73E-05
-10.87,7.80E-05
-10.86,7.87E-05
-10.85,7.93E-05
-10.84,8.00E-05
-10.83,8.07E-05
-10.82,8.14E-05
-10.81,8.21E-05
-10.8,8.28E-05
-10.79,8.35E-05
-10.78,8.42E-05
-10.77,8.50E-05
-10.76,8.57E-05
-10.75,8.65E-05
-10.74,8.72E-05
-10.73,8.80E-05
-10.72,8.87E-05
-10.71,8.95E-05
-10.7,9.03E-05
-10.69,9.11E-05
-10.68,9.19E-05
-10.67,9.27E-05
-10.66,9.35E-05
-10.65,9.43E-05
-10.64,9.51E-05
-10.63,9.60E-05
-10.62,9.68E-05
-10.61,9.77E-05
-10.6,9.85E-05
-10.59,9.94E-05
-10.58,1.00E-04
-10.57,1.01E-04
-10.56,1.02E-04
-10.55,1.03E-04
-10.54,1.04E-04
-10.53,1.05E-04
-10.52,1.06E-04
-10.51,1.07E-04
-10.5,1.08E-04
-10.49,1.09E-04
-10.48,1.10E-04
-10.47,1.11E-04
-10.46,1.12E-04
-10.45,1.13E-04
-10.44,1.14E-04
-10.43,1.15E-04
-10.42,1.16E-04
-10.41,1.17E-04
-10.4,1.18E-04
-10.39,1.19E-04
-10.38,1.20E-04
-10.37,1.21E-04
-10.36,1.22E-04
-10.35,1.23E-04
-10.34,1.24E-04
-10.33,1.25E-04
-10.32,1.26E-04
-10.31,1.28E-04
-10.3,1.29E-04
-10.29,1.30E-04
-10.28,1.31E-04
-10.27,1.32E-04
-10.26,1.34E-04
-10.25,1.35E-04
-10.24,1.36E-04
-10.23,1.37E-04
-10.22,1.38E-04
-10.21,1.40E-04
-10.2,1.41E-04
-10.19,1.42E-04
-10.18,1.44E-04
-10.17,1.45E-04
-10.16,1.46E-04
-10.15,1.48E-04
-10.14,1.49E-04
-10.13,1.50E-04
-10.12,1.52E-04
-10.11,1.53E-04
-10.1,1.55E-04
-10.09,1.56E-04
-10.08,1.57E-04
-10.07,1.59E-04
-10.06,1.60E-04
-10.05,1.62E-04
-10.04,1.63E-04
-10.03,1.65E-04
-10.02,1.66E-04
-10.01,1.68E-04
-10,1.69E-04
-9.99,1.71E-04
-9.98,1.73E-04
-9.97,1.74E-04
-9.96,1.76E-04
-9.95,1.78E-04
-9.94,1.79E-04
-9.93,1.81E-04
-9.92,1.83E-04
-9.91,1.84E-04
-9.9,1.86E-04
-9.89,1.88E-04
-9.88,1.90E-04
-9.87,1.91E-04
-9.86,1.93E-04
-9.85,1.95E-04
-9.84,1.97E-04
-9.83,1.99E-04
-9.82,2.01E-04
-9.81,2.03E-04
-9.8,2.04E-04
-9.79,2.06E-04
-9.78,2.08E-04
-9.77,2.10E-04
-9.76,2.12E-04
-9.75,2.14E-04
-9.74,2.16E-04
-9.73,2.18E-04
-9.72,2.21E-04
-9.71,2.23E-04
-9.7,2.25E-04
-9.69,2.27E-04
-9.68,2.29E-04
-9.67,2.31E-04
-9.66,2.34E-04
-9.65,2.36E-04
-9.64,2.38E-04
-9.63,2.40E-04
-9.62,2.43E-04
-9.61,2.45E-04
-9.6,2.47E-04
-9.59,2.50E-04
-9.58,2.52E-04
-9.57,2.55E-04
-9.56,2.57E-04
-9.55,2.59E-04
-9.54,2.62E-04
-9.53,2.65E-04
-9.52,2.67E-04
-9.51,2.70E-04
-9.5,2.72E-04
-9.49,2.75E-04
-9.48,2.78E-04
-9.47,2.80E-04
-9.46,2.83E-04
-9.45,2.86E-04
-9.44,2.89E-04
-9.43,2.91E-04
-9.42,2.94E-04
-9.41,2.97E-04
-9.4,3.00E-04
-9.39,3.03E-04
-9.38,3.06E-04
-9.37,3.09E-04
-9.36,3.12E-04
-9.35,3.15E-04
-9.34,3.18E-04
-9.33,3.21E-04
-9.32,3.24E-04
-9.31,3.28E-04
-9.3,3.31E-04
-9.29,3.34E-04
-9.28,3.37E-04
-9.27,3.41E-04
-9.26,3.44E-04
-9.25,3.48E-04
-9.24,3.51E-04
-9.23,3.54E-04
-9.22,3.58E-04
-9.21,3.61E-04
-9.2,3.65E-04
-9.19,3.69E-04
-9.18,3.72E-04
-9.17,3.76E-04
-9.16,3.80E-04
-9.15,3.84E-04
-9.14,3.87E-04
-9.13,3.91E-04
-9.12,3.95E-04
-9.11,3.99E-04
-9.1,4.03E-04
-9.09,4.07E-04
-9.08,4.11E-04
-9.07,4.15E-04
-9.06,4.19E-04
-9.05,4.24E-04
-9.04,4.28E-04
-9.03,4.32E-04
-9.02,4.36E-04
-9.01,4.41E-04
-9,4.45E-04
-8.99,4.50E-04
-8.98,4.54E-04
-8.97,4.59E-04
-8.96,4.63E-04
-8.95,4.68E-04
-8.94,4.73E-04
-8.93,4.77E-04
-8.92,4.82E-04
-8.91,4.87E-04
-8.9,4.92E-04
-8.89,4.97E-04
-8.88,0.001
-8.87,0.001
-8.86,0.001
-8.85,0.001
-8.84,0.001
-8.83,0.001
-8.82,0.001
-8.81,0.001
-8.8,0.001
-8.79,0.001
-8.78,0.001
-8.77,0.001
-8.76,0.001
-8.75,0.001
-8.74,0.001
-8.73,0.001
-8.72,0.001
-8.71,0.001
-8.7,0.001
-8.69,0.001
-8.68,0.001
-8.67,0.001
-8.66,0.001
-8.65,0.001
-8.64,0.001
-8.63,0.001
-8.62,0.001
-8.61,0.001
-8.6,0.001
-8.59,0.001
-8.58,0.001
-8.57,0.001
-8.56,0.001
-8.55,0.001
-8.54,0.001
-8.53,0.001
-8.52,0.001
-8.51,0.001
-8.5,0.001
-8.49,0.001
-8.48,0.001
-8.47,0.001
-8.46,0.001
-8.45,0.001
-8.44,0.001
-8.43,0.001
-8.42,0.001
-8.41,0.001
-8.4,0.001
-8.39,0.001
-8.38,0.001
-8.37,0.001
-8.36,0.001
-8.35,0.001
